bigram,bigram_comfort_score
qs,0.46788323980193064
sa,0.7493859760125893
ex,0.0
xe,0.7888402891494131
ar,0.4006490369238582
ra,1.0
fr,0.5814543618310212
ft,0.8147027141808163
df,0.1454862316605637
fd,0.5382550144909223
qc,0.29019720593827436
ze,0.44249353614429887
qx,0.18582618326693462
xq,1.0
af,0.27382300976482626
fa,1.0
sq,1.0
es,0.07582246988765248
se,0.676321595726347
wv,0.6183753060934859
xr,0.6840240061751648
wz,0.0
zw,0.8139797978432775
qv,0.4593996203685374
vq,1.0
rz,0.21621781910069712
zr,0.6010671869685467
wc,0.6495997189058057
qb,0.41825367449893414
zt,0.7735855754928415
fq,0.0
qf,0.5244901163549816
fb,0.36051855471107347
fv,0.7309553013206361
dr,0.12468551438337516
rd,0.9065159372718514
aw,0.25613285000584285
wa,0.5036643524740604
fg,0.4603646760524845
dw,0.0
wd,0.8629251134485214
ad,0.09101569663599074
da,1.0
ds,0.08587688328772515
sd,1.0
cr,0.18367874623481895
rc,1.0
fs,0.0
sf,0.730366499778533
cw,0.0
ev,0.25429438974179913
ve,1.0
ae,0.3969240553799796
qd,0.7716223850248858
as,0.21131862227261064
vr,0.5582805703438717
sr,0.5735156446561995
wf,0.7284320270032527
ce,0.25119573411449864
xc,0.6805868791540279
be,0.8016815053259023
cv,0.6890994305528061
zx,0.6989216564939705
ef,0.42968005289472744
fe,1.0
ag,0.40707917192739346
qr,0.33052096939388365
ax,0.3363195812805486
er,0.8179686067280185
zs,0.8115827220820594
qg,0.46136209004713624
zf,0.6175517104479221
sc,0.4203659187788524
qt,0.5993765357974167
zb,0.4513477964453777
qw,0.3863980705101417
xd,0.5744952678728821
zg,0.7152923273533079
zv,0.6884387891216269
cf,0.3212161410080959
at,0.36394759903302487
xw,0.6769799570188513
dc,0.4222551997591259
aq,0.2234748217002979
zq,0.5627638822182908
de,0.21832697412183083
sw,0.7007819451168679
sx,0.5645547435165766
az,0.3932072184187772
ez,0.5219699515358268
qe,0.4858148045263597
te,0.7915460413643205
ge,0.30575577549384214
bw,0.646884574114259
qz,0.6819737995165125
ct,0.2799261860565466
tg,0.6068095641433839
gc,0.4559456808018932
tb,0.5208095743435832
wq,0.5885146859319573
xt,0.5675643617986057
dt,0.31187009419292755
cs,0.29827601430080025
gq,0.19512621827222862
rt,0.5856832777461887
wx,0.8828654561693252
tz,0.8332577842202877
dx,0.3107997939862833
td,0.6892002060137167
fc,0.5056551647398729
qa,0.6068424402135251
rg,0.5594499708770617
rs,0.3968793687618316
rx,0.6892002060137167
gb,0.5559855324952307
