bigram,comfort_score
qw,0.5715595815467321
qe,0.6763186628740823
qr,0.7810777442014323
qt,1.0
qa,0.3103460144265383
qs,0.4303315240875327
qd,0.5193646756880002
qf,0.6955568330048845
qg,0.9144790888034522
qz,0.1631867976740523
qx,0.1819729848359377
qc,0.29288391810381453
qv,0.5483976162523985
qb,0.7673198720509662
wq,0.5380075308317834
we,0.5715595815467321
wr,0.6763186628740823
wt,0.8952409186726499
wa,0.4092919425214929
ws,0.2264807575841855
wd,0.3714109172469072
wf,0.5476030745637916
wg,0.7665253303623594
wz,0.2402549441015973
wx,0.0
wc,0.1230523779953121
wv,0.40044385781130565
wb,0.6193661136098734
eq,0.6427666121591334
ew,0.5380075308317834
er,0.5715595815467321
et,0.7904818373453
ea,0.5140510238488429
es,0.3535847962588413
ed,0.2264807575841855
ef,0.44284399323644164
eg,0.6617662490350094
ez,0.36689180709635694
ex,0.1052262570072463
ec,0.0
ev,0.27380699481654613
eb,0.49272925061511386
rq,0.7475256934864836
rw,0.6427666121591334
re,0.5380075308317834
rt,0.5741186016930437
ra,0.7443958865610222
rs,0.5839296589710206
rd,0.46344464791678774
rf,0.3103460144265383
rg,0.5292682702251061
rz,0.5972366698085361
rx,0.35744890138683494
rc,0.2150861086651925
rv,0.1631867976740523
rb,0.38210905347262003
tq,0.9664479492850513
tw,0.8616888679577012
te,0.7569297866303512
tr,0.5741186016930437
ta,0.9633181423595899
ts,0.8028519147695883
td,0.6823669037153555
tf,0.5292682702251061
tg,0.424509188897756
tz,0.8161589256071038
tx,0.5763711571854027
tc,0.43400836446376034
tv,0.38210905347262003
tb,0.27734997214527
aq,0.3103460144265383
aw,0.44284399323644164
ae,0.5476030745637916
ar,0.7779479372759709
at,0.9968701930745387
as,0.5715595815467321
ad,0.6763186628740823
af,0.7810777442014323
ag,1.0
az,0.2264807575841855
ax,0.2671447264134804
ac,0.3561778780139476
av,0.6116915761625317
ab,0.8306138319610994
sq,0.396779473372584
sw,0.2264807575841855
se,0.38713684697379
sr,0.6174817096859693
st,0.836403965484537
