bigram,comfort_score
qw,0.42844041845326786
qe,0.3236813371259178
qr,0.21892225579856778
qt,0.0
qa,0.6896539855734617
qs,0.5696684759124673
qd,0.4806353243119999
qf,0.30444316699511553
qg,0.08552091119654777
qz,0.8368132023259477
qx,0.8180270151640623
qc,0.7071160818961855
qv,0.45160238374760153
qb,0.2326801279490338
wq,0.46199246916821657
we,0.42844041845326786
wr,0.3236813371259178
wt,0.10475908132735012
wa,0.5907080574785071
ws,0.7735192424158145
wd,0.6285890827530928
wf,0.45239692543620835
wg,0.23347466963764058
wz,0.7597450558984027
wx,1.0
wc,0.8769476220046879
wv,0.5995561421886944
wb,0.38063388639012663
eq,0.35723338784086656
ew,0.46199246916821657
er,0.42844041845326786
et,0.20951816265470008
ea,0.48594897615115706
es,0.6464152037411587
ed,0.7735192424158145
ef,0.5571560067635584
eg,0.33823375096499064
ez,0.6331081929036431
ex,0.8947737429927537
ec,1.0
ev,0.7261930051834539
eb,0.5072707493848861
rq,0.2524743065135165
rw,0.35723338784086656
re,0.46199246916821657
rt,0.42588139830695626
ra,0.2556041134389778
rs,0.4160703410289795
rd,0.5365553520832123
rf,0.6896539855734617
rg,0.4707317297748939
rz,0.4027633301914639
rx,0.6425510986131651
rc,0.7849138913348075
rv,0.8368132023259477
rb,0.61789094652738
tq,0.03355205071494871
tw,0.13831113204229883
te,0.24307021336964882
tr,0.42588139830695626
ta,0.03668185764041006
ts,0.19714808523041177
td,0.3176330962846446
tf,0.4707317297748939
tg,0.575490811102244
tz,0.18384107439289615
tx,0.42362884281459734
tc,0.5659916355362397
tv,0.61789094652738
tb,0.72265002785473
aq,0.6896539855734617
aw,0.5571560067635584
ae,0.45239692543620835
ar,0.22205206272402908
at,0.003129806925461272
as,0.42844041845326786
ad,0.3236813371259178
af,0.21892225579856778
ag,0.0
az,0.7735192424158145
ax,0.7328552735865196
ac,0.6438221219860524
av,0.3883084238374684
ab,0.16938616803890064
sq,0.603220526627416
sw,0.7735192424158145
se,0.61286315302621
sr,0.3825182903140308
st,0.16359603451546306
sa,0.46199246916821657
sd,0.42844041845326786
sf,0.3236813371259178
sg,0.10475908132735012
sz,0.5907080574785071
sx,0.8528407832475141
sc,0.7079106235847922
sv,0.45239692543620835
sb,0.23347466963764058
dq,0.5141873750269487
dw,0.6621411334680415
de,0.7735192424158145
dr,0.5030033013682635
dt,0.2840810455696959
da,0.35723338784086656
ds,0.46199246916821657
df,0.42844041845326786
dg,0.20951816265470008
dz,0.48594897615115706
dx,0.7257367445728584
dc,0.8528407832475141
dv,0.5571560067635584
db,0.33823375096499064
fq,0.3379952177100642
fw,0.48594897615115706
fe,0.5907080574785071
fr,0.6896539855734617
ft,0.4707317297748939
fa,0.2524743065135165
fs,0.35723338784086656
fd,0.46199246916821657
fg,0.42588139830695626
fz,0.33946937028133056
fx,0.5792571387030319
fc,0.6997421497572646
fv,0.7735192424158145
fb,0.5545969866172468
gq,0.11907296191149648
gw,0.2670267203525893
ge,0.37178580167993935
gr,0.4707317297748939
gt,0.575490811102244
ga,0.03355205071494871
gs,0.13831113204229883
gd,0.24307021336964882
gf,0.42588139830695626
