bigram,bigram_comfort_score
az,0.6365679908078201
sa,0.43562229257198604
de,0.4310814202663444
se,0.55649752306874
cr,0.6036686412192502
ev,0.4204080098420459
ce,0.6924589097375167
xe,0.48310315121147385
aq,0.4335120070515107
sw,0.6230812339142858
aw,0.4097803039209726
qs,0.5505449460632369
ze,0.39598845105701386
sx,0.5339037737255555
dc,0.4660962262744445
fv,0.641679123344119
wd,0.44554315215837437
fr,0.5127055414362895
xw,0.5303651851730218
dr,0.4433112629821075
wv,0.5735874502425327
zw,0.548965186434514
qx,0.4799217001630093
zq,0.5291009931645893
fd,0.43592905653755665
xr,0.4735728708821379
vr,0.3861626835336989
sc,0.42695253103078334
xd,0.5605130413327855
ag,0.6679925247924675
zg,0.6183600962151107
qb,0.32194620206931407
qf,0.583103656105614
af,0.3768817804839121
er,0.5011564541155815
ar,0.467499436713746
sr,0.4833999789322524
ae,0.284205178754118
qr,0.47011994874652274
qv,0.3559993222003337
zf,0.5396448286853025
zv,0.6102609363487925
ax,0.5533553415404207
zs,0.33993397537873793
ad,0.5093183388813227
zb,0.3255069670939326
cf,0.7589811838098555
cv,0.17313227148254656
qt,0.654671556958993
as,0.6279631517129601
zr,0.5510751035957095
at,0.384971394935156
zx,0.24099393398029384
qw,0.6209641455772659
df,0.34898482279323867
sf,0.5424727012569731
qg,0.36415307964045396
zt,0.7953477567269527
ef,0.569905496077312
wf,0.8098719397090928
fe,0.5665322147159346
be,0.7261294266293451
fg,0.3920750021819627
ds,0.592997237136187
xc,0.05348564556045865
xq,0.5665322147159346
da,0.5665322147159346
wc,0.5523074310247815
rz,0.45009874209322837
rc,0.5665322147159346
ra,0.5665322147159346
sd,0.5665322147159346
qd,0.5750027580313162
ve,0.5665322147159346
fb,0.36839611343389517
qc,0.3652238436641417
ex,0.43346778528406543
ft,0.7587627215946304
fa,0.5665322147159346
sq,0.5665322147159346
es,0.4079639370449496
wz,0.43346778528406543
vq,0.5665322147159346
fq,0.43346778528406543
rd,0.5808046049945369
wa,0.5834658629504352
dw,0.43346778528406543
fs,0.43346778528406543
cw,0.43346778528406543
ez,0.613570002465853
rt,0.46831851556344417
qz,0.4241494464027427
rg,1.0
dt,0.21426155910272776
gc,0.49579492574539624
fc,0.5222532167532077
tb,0.46257974721481226
ct,0.775817689955549
tg,0.34342920933624943
dx,0.15992125133983473
td,0.8400787486601653
wx,0.13698437326442497
gq,0.24671437497797993
tz,0.675941107723983
ge,0.37316719993087577
qe,0.5253993983660592
wq,0.49729410125480306
gb,0.49217694168749093
rx,0.2687835946775524
rs,0.6065742052881213
cs,0.5599150136301935
te,0.748520825120133
bw,0.098586536096069
xt,0.5332703010976088
qa,0.17643175392831678
