,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ncols,-0.313,0.382,-1.036,0.394,0.002,0.002,34882.0,12460.0,1.0
nrows,0.384,0.36,-0.308,1.044,0.002,0.002,34428.0,11695.0,1.0
out,0.1,0.365,-0.57,0.795,0.002,0.003,34888.0,12668.0,1.0
skip,0.055,0.379,-0.656,0.76,0.002,0.003,34451.0,12464.0,1.0
1or4_top_above,-0.25,0.373,-0.966,0.422,0.002,0.003,42496.0,10799.0,1.0
2or3_bot_below,0.237,0.359,-0.454,0.903,0.002,0.003,35772.0,10933.0,1.0
1above,-0.124,0.368,-0.807,0.574,0.002,0.003,36062.0,12290.0,1.0
4above,0.121,0.25,-0.338,0.606,0.001,0.002,42595.0,10457.0,1.0
2below,0.213,0.362,-0.486,0.872,0.002,0.003,37837.0,12351.0,1.0
3below,0.166,0.338,-0.451,0.811,0.002,0.003,36010.0,11158.0,1.0
center,-0.341,0.325,-0.964,0.26,0.002,0.002,37422.0,10543.0,1.0
same,0.333,0.38,-0.395,1.025,0.002,0.002,41127.0,11978.0,1.0
adj_skip,0.065,0.303,-0.52,0.618,0.002,0.003,39464.0,11133.0,1.0
same_skip,-0.02,0.29,-0.558,0.535,0.001,0.003,40077.0,10623.0,1.0
1_center,0.046,0.257,-0.436,0.535,0.001,0.003,37617.0,11138.0,1.0
typing_time,63.726,0.431,62.905,64.522,0.002,0.002,34233.0,12208.0,1.0
participant_intercept[0],2.339,0.958,0.522,4.086,0.005,0.004,38214.0,11182.0,1.0
participant_intercept[1],-2.154,0.973,-4.003,-0.35,0.005,0.004,40472.0,9789.0,1.0
participant_intercept[2],-0.162,1.012,-2.111,1.674,0.005,0.01,43886.0,9862.0,1.0
participant_intercept[3],-0.816,1.002,-2.746,0.987,0.005,0.007,41076.0,10601.0,1.0
participant_intercept[4],-0.678,0.983,-2.53,1.135,0.005,0.007,44148.0,10350.0,1.0
participant_intercept[5],-2.31,0.978,-4.178,-0.548,0.005,0.004,40902.0,10733.0,1.0
participant_intercept[6],-0.746,0.983,-2.554,1.149,0.005,0.007,40472.0,10739.0,1.0
participant_intercept[7],0.165,0.975,-1.69,1.985,0.005,0.01,42161.0,10744.0,1.0
participant_intercept[8],0.677,0.99,-1.213,2.484,0.005,0.008,36972.0,10278.0,1.0
participant_intercept[9],-1.079,0.974,-2.852,0.772,0.005,0.006,42854.0,11138.0,1.0
participant_intercept[10],1.791,0.97,0.02,3.673,0.005,0.005,40687.0,10312.0,1.0
participant_intercept[11],-0.52,0.981,-2.364,1.35,0.005,0.008,35868.0,10451.0,1.0
participant_intercept[12],0.661,0.969,-1.137,2.492,0.005,0.007,43780.0,11261.0,1.0
participant_intercept[13],-0.219,0.972,-2.042,1.625,0.005,0.009,36218.0,10714.0,1.0
participant_intercept[14],0.465,0.99,-1.309,2.368,0.005,0.008,41378.0,10943.0,1.0
participant_intercept[15],-0.566,0.993,-2.403,1.33,0.005,0.008,44408.0,11442.0,1.0
participant_intercept[16],0.607,0.965,-1.181,2.448,0.005,0.007,40198.0,11021.0,1.0
participant_intercept[17],0.866,0.979,-0.976,2.693,0.005,0.007,36562.0,10967.0,1.0
participant_intercept[18],0.936,0.98,-0.943,2.747,0.005,0.006,36954.0,9686.0,1.0
participant_intercept[19],-0.325,0.996,-2.189,1.58,0.005,0.009,38847.0,10223.0,1.0
participant_intercept[20],1.402,0.97,-0.493,3.202,0.005,0.005,37068.0,10558.0,1.0
participant_intercept[21],-0.079,1.003,-1.977,1.813,0.005,0.01,37899.0,10905.0,1.0
participant_intercept[22],-0.06,0.987,-1.962,1.746,0.005,0.01,41995.0,10812.0,1.0
participant_intercept[23],-1.674,0.965,-3.509,0.124,0.005,0.005,39493.0,10383.0,1.0
participant_intercept[24],0.211,0.985,-1.651,2.029,0.005,0.009,43576.0,11612.0,1.0
participant_intercept[25],-3.264,0.962,-5.094,-1.487,0.005,0.004,40853.0,10872.0,1.0
participant_intercept[26],-1.646,0.973,-3.492,0.172,0.005,0.005,36944.0,9908.0,1.0
participant_intercept[27],-2.216,0.978,-4.096,-0.428,0.005,0.004,38107.0,10810.0,1.0
participant_intercept[28],-0.707,0.964,-2.539,1.088,0.005,0.007,39301.0,11419.0,1.0
participant_intercept[29],-0.798,0.967,-2.615,1.021,0.005,0.007,39997.0,11031.0,1.0
participant_intercept[30],0.792,0.983,-1.046,2.598,0.005,0.007,39835.0,11560.0,1.0
participant_intercept[31],-0.552,1.015,-2.487,1.343,0.005,0.009,47581.0,9589.0,1.0
participant_intercept[32],0.02,0.999,-1.814,1.919,0.005,0.01,40027.0,10692.0,1.0
participant_intercept[33],0.939,0.97,-0.936,2.73,0.005,0.006,37467.0,10562.0,1.0
participant_intercept[34],0.944,0.99,-0.935,2.753,0.005,0.006,44051.0,10562.0,1.0
participant_intercept[35],-0.062,0.971,-1.96,1.671,0.005,0.009,42197.0,11412.0,1.0
participant_intercept[36],0.232,0.985,-1.567,2.122,0.005,0.009,38520.0,10256.0,1.0
participant_intercept[37],0.304,0.971,-1.494,2.149,0.005,0.008,39690.0,10530.0,1.0
participant_intercept[38],-0.828,0.985,-2.616,1.062,0.005,0.007,40511.0,10503.0,1.0
participant_intercept[39],-0.329,0.976,-2.141,1.545,0.005,0.009,41617.0,10256.0,1.0
participant_intercept[40],-1.219,0.96,-2.968,0.642,0.005,0.005,39976.0,10915.0,1.0
participant_intercept[41],-0.259,0.982,-2.115,1.562,0.005,0.009,38878.0,10556.0,1.0
participant_intercept[42],-1.462,0.954,-3.22,0.372,0.005,0.005,39052.0,10945.0,1.0
participant_intercept[43],0.946,0.987,-0.917,2.81,0.005,0.007,39763.0,10802.0,1.0
participant_intercept[44],-1.567,0.968,-3.321,0.297,0.005,0.005,41825.0,10439.0,1.0
participant_intercept[45],-1.12,0.976,-2.942,0.712,0.005,0.006,40829.0,10432.0,1.0
